# of Units,Incident Alarm Time,Problem Type,Location,Location Type
2,11/12/2018 10:56:21,Police matter,201 E Access RD ,Street or road in commercial area
1,11/12/2018 11:44:19,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
6,11/12/2018 15:00:09,"Smoke scare, odor of smoke",500  Parker DR ,Multifamily dwellings
1,11/12/2018 16:04:36,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,11/12/2018 16:30:43,Alarm system sounded due to malfunction,1740  Old Ranch Road 12  ,Multifamily dwellings
3,11/12/2018 18:33:35,Rescue or EMS standby,1807  Airport DR ,Aircraft runway
3,11/12/2018 19:07:51,Public service,204  SB  ,Highway or divided highway
3,11/12/2018 19:20:26,Smoke detector activation due to malfunction,102  Mosscliff CIR ,"Boarding/rooming house, residential hotels"
6,11/12/2018 19:33:54,"Detector activation, no fire - unintentional",650  River RD ,Multifamily dwellings
2,11/12/2018 21:26:53,Smoke detector activation due to malfunction,102  Mosscliff CIR ,"Boarding/rooming house, residential hotels"
1,11/12/2018 21:33:02,"Arcing, shorted electrical equipment",1104 N LBJ DR ,1 or 2 family dwelling
6,11/12/2018 23:04:04,No incident found on arrival at dispatch address,15  Tanglewood TRL ,1 or 2 family dwelling
4,11/13/2018 1:28:04,Alarm system sounded due to malfunction,401 N Fredericksburg ST ,Multifamily dwellings
1,11/13/2018 2:08:59,Vicinity alarm (incident in other location), N Comanche ST ,Street or road in commercial area
1,11/13/2018 2:53:50,Smoke detector activation due to malfunction,1111  Avalon AVE ,Multifamily dwellings
1,11/13/2018 2:55:36,Smoke detector activation due to malfunction,604  Alabama ST ,1 or 2 family dwelling
1,11/13/2018 6:41:24,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,11/13/2018 7:05:59,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
7,11/13/2018 8:01:37,"Smoke scare, odor of smoke",226  Wonder World DR ,Business office
2,11/13/2018 8:57:35,Dispatched & cancelled en route,205 E Access RD ,Highway or divided highway
1,11/13/2018 11:51:38,No incident found on arrival at dispatch address,202  Porter ST ,"Household goods, sales, repairs"
2,11/13/2018 13:23:59,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
1,11/13/2018 13:33:37,Vehicle accident with injuries, W Hopkins ST ,"Residential street, road or residential driveway"
2,11/13/2018 14:37:23,Smoke detector activation due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,11/13/2018 15:56:27,"Public service assistance, other",801  Bracewood CIR ,1 or 2 family dwelling
2,11/13/2018 16:35:29,Motor vehicle accident with no injuries,1300  Hwy 123  ,Highway or divided highway
1,11/13/2018 19:05:46,"EMS call, excluding vehicle accident with injury",415  North ST ,Multifamily dwellings
1,11/13/2018 22:55:08,No incident found on arrival at dispatch address,100 W Sierra CIR ,"Residential street, road or residential driveway"
1,11/13/2018 23:23:13,"Detector activation, no fire - unintentional",4002 S IH 35  ,Restaurant or cafeteria
1,11/14/2018 1:06:29,Motor vehicle accident with no injuries,  Mill ST ,"Residential street, road or residential driveway"
2,11/14/2018 1:37:06,"Smoke scare, odor of smoke",1111  Avalon AVE ,Multifamily dwellings
1,11/14/2018 4:16:07,Smoke detector activation due to malfunction,201  Telluride ST ,Multifamily dwellings
1,11/14/2018 6:52:31,"Medical assist, assist EMS crew",1015  Hwy 80  ,"Food and beverage sales, grocery store"
1,11/14/2018 6:56:47,"EMS call, excluding vehicle accident with injury",301  Oakdale DR ,1 or 2 family dwelling
6,11/14/2018 8:12:00,"Fuel burner/boiler malfunction, fire confined",400  Barnes DR ,"Manufacturing, processing"
1,11/14/2018 9:57:49,"EMS call, excluding vehicle accident with injury",537  Lindsey ST ,1 or 2 family dwelling
1,11/14/2018 10:01:05,"Alarm system sounded, no fire - unintentional",301  Foxtail RUN ,High school/junior high school/middle school
2,11/14/2018 10:58:49,Motor vehicle accident with no injuries,201  SB  ,Highway or divided highway
1,11/14/2018 11:36:52,"EMS call, excluding vehicle accident with injury",615 N Lbj DR ,"Adult education center, college classroom"
1,11/14/2018 15:26:41,"Medical assist, assist EMS crew",922  Belvin ST ,1 or 2 family dwelling
1,11/14/2018 17:22:57,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
6,11/14/2018 17:33:48,Building fire - Residential,241  Mary Max CIR ,1 or 2 family dwelling
6,11/14/2018 18:19:33,"Arcing, shorted electrical equipment",317  Craddock AVE ,Multifamily dwellings
2,11/14/2018 18:23:03,Dispatched & cancelled en route,1321 N IH 35  ,"Hotel/motel, commercial"
1,11/14/2018 18:55:27,"Medical assist, assist EMS crew",200 W Hopkins ST ,Vehicle parking area
2,11/14/2018 20:33:08,Vehicle accident with injuries,206  NB  ,Highway or divided highway
2,11/14/2018 21:00:12,Fires in structures other than in a building,250 S Stagecoach TRL ,Multifamily dwellings
1,11/14/2018 22:36:55,Smoke detector activation due to malfunction,1271  Sadler DR ,Multifamily dwellings
1,11/15/2018 8:14:17,"Alarm system sounded, no fire - unintentional",1509 N IH 35  ,"Clinic, clinic-type infirmary"
1,11/15/2018 9:57:48,Alarm system sounded due to malfunction,1141 N IH 35  ,Restaurant or cafeteria
1,11/15/2018 10:27:10,Gas leak (natural gas or LPG),600  Alabama ST ,"Residential street, road or residential driveway"
2,11/15/2018 10:41:54,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/15/2018 13:12:56,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,"Textile, wearing apparel sales"
1,11/15/2018 14:04:09,Grass fire,5101 S IH 35  ,Street or road in commercial area
2,11/15/2018 14:55:44,"EMS call, excluding vehicle accident with injury",900 N IH 35 RD ,Highway or divided highway
1,11/15/2018 17:47:35,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,11/15/2018 17:57:26,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Vehicle parking area
2,11/15/2018 18:21:26,Motor vehicle accident with no injuries,802 S Guadalupe ST ,Street or road in commercial area
1,11/15/2018 18:35:39,Motor vehicle accident with no injuries,243  Wonder World DR ,Vehicle parking area
1,11/15/2018 18:42:35,Motor vehicle accident with no injuries,1642  Aquarena Springs DR ,Street or road in commercial area
2,11/15/2018 21:45:03,No incident found on arrival at dispatch address,209  Mary Max CIR ,1 or 2 family dwelling
1,11/15/2018 23:56:08,"EMS call, excluding vehicle accident with injury",1133  Cheatham ST ,1 or 2 family dwelling
1,11/16/2018 0:21:38,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
3,11/16/2018 11:19:19,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
2,11/16/2018 12:14:09,"EMS call, excluding vehicle accident with injury",180  Springtown WAY ,Vehicle parking area
2,11/16/2018 13:08:04,Motor vehicle accident with no injuries, N LBJ DR ,Street or road in commercial area
2,11/16/2018 13:43:53,Motor vehicle accident with no injuries,  EXIT 201 NB  ,Highway or divided highway
1,11/16/2018 14:22:32,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/16/2018 14:45:39,Police matter,308  Magnolia DR ,Fire station
2,11/16/2018 15:23:51,"EMS call, excluding vehicle accident with injury",321  Broadway ST ,1 or 2 family dwelling
3,11/16/2018 16:10:46,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
3,11/16/2018 16:27:56,Motor vehicle accident with no injuries,1004  Hwy 123  ,Highway or divided highway
1,11/16/2018 19:00:34,"System malfunction, other",201  Springtown WAY ,"Professional supplies, services"
2,11/16/2018 19:06:02,Vehicle accident with injuries,204  NB  ,Highway or divided highway
1,11/16/2018 19:09:18,"Medical assist, assist EMS crew",1106 N IH 35  ,Hospital - medical or psychiatric
1,11/16/2018 20:30:07,Animal problem,107  Fenway LP ,Multifamily dwellings
2,11/16/2018 20:45:30,"Service Call, other",210  NB  ,Highway or divided highway
1,11/16/2018 22:38:56,No incident found on arrival at dispatch address,1001 E McCarty LN ,"Hotel/motel, commercial"
1,11/17/2018 1:02:46,Assist police or other governmental agency,2913  Hunter RD ,Multifamily dwellings
1,11/17/2018 1:21:55,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,11/17/2018 4:31:34,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
2,11/17/2018 5:23:43,Smoke detector activation due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,11/17/2018 8:51:23,Alarm system sounded due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,11/17/2018 9:03:43,"Person in distress, other",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/17/2018 9:57:15,"Person in distress, other",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/17/2018 11:42:29,"Medical assist, assist EMS crew",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,11/17/2018 12:52:56,"Medical assist, assist EMS crew",201  San Marcos Springs DR ,Graded and cared-for plots of land
1,11/17/2018 13:09:24,"EMS call, excluding vehicle accident with injury",104  Reyes ST ,1 or 2 family dwelling
1,11/17/2018 13:35:29,"Alarm system sounded, no fire - unintentional",205  Sky Springs PASS ,1 or 2 family dwelling
2,11/17/2018 14:47:01,Vehicle accident with injuries,201  NB  ,Highway or divided highway
1,11/17/2018 14:57:32,Lock-out,1107  Furman AVE ,1 or 2 family dwelling
2,11/17/2018 15:19:07,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
3,11/17/2018 16:24:25,Vehicle accident with injuries,199  NB  ,Highway or divided highway
1,11/17/2018 19:56:25,"EMS call, excluding vehicle accident with injury",1202 S IH 35  ,"Eating, drinking places"
1,11/17/2018 21:58:14,Vehicle accident with injuries,904  Craddock AVE ,"Residential street, road or residential driveway"
1,11/17/2018 21:59:47,"Medical assist, assist EMS crew",1106 N IH 35  ,Hospital - medical or psychiatric
0,11/18/2018 1:42:03,"EMS call, excluding vehicle accident with injury",103  Sageleaf Willow DR ,1 or 2 family dwelling
1,11/18/2018 2:08:32,"EMS call, excluding vehicle accident with injury",1100  Patton ST ,"Ballroom, gymnasium"
1,11/18/2018 3:40:55,"EMS call, excluding vehicle accident with injury",317  Craddock AVE ,Multifamily dwellings
1,11/18/2018 4:01:56,"EMS call, excluding vehicle accident with injury",121  Riverside DR ,1 or 2 family dwelling
0,11/18/2018 6:01:43,"EMS call, excluding vehicle accident with injury",3413  Hunter RD ,Vehicle parking area
3,11/18/2018 6:55:36,Unauthorized burning,1350 N LBJ DR ,1 or 2 family dwelling
1,11/18/2018 12:34:34,No incident found on arrival at dispatch address,738  Easton DR ,1 or 2 family dwelling
1,11/18/2018 19:02:50,"Vehicle accident, general cleanup",1500  Old Ranch Road 12  ,"Residential street, road or residential driveway"
1,11/18/2018 23:21:06,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
0,11/19/2018 1:41:27,"EMS call, excluding vehicle accident with injury",718  Harwood DR ,1 or 2 family dwelling
1,11/19/2018 1:45:28,"Vehicle accident, general cleanup",300  Craddock AVE ,"Residential street, road or residential driveway"
1,11/19/2018 3:32:08,"EMS call, excluding vehicle accident with injury",237  Newberry TRL ,1 or 2 family dwelling
1,11/19/2018 8:10:20,"EMS call, excluding vehicle accident with injury",400  Barnes DR ,"Manufacturing, processing"
1,11/19/2018 12:21:05,Alarm system sounded due to malfunction,1001 E McCarty LN ,"Hotel/motel, commercial"
1,11/19/2018 12:33:34,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
2,11/19/2018 14:14:28,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,11/19/2018 16:42:59,Lock-out,1101  Leah AVE ,Vehicle parking area
1,11/19/2018 16:52:13,"EMS call, excluding vehicle accident with injury",1350 N IH 35  ,Business office
2,11/19/2018 17:57:29,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
2,11/19/2018 19:38:00,Outside stationary compactor/compacted trash fire,1350  Sadler DR ,Vehicle parking area
1,11/19/2018 20:43:18,"Medical assist, assist EMS crew",1610 N IH 35  ,Vehicle parking area
1,11/19/2018 22:50:18,Assist invalid,1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/19/2018 23:31:19,"Medical assist, assist EMS crew",2  Timbercrest  ,1 or 2 family dwelling
1,11/20/2018 0:46:12,No incident found on arrival at dispatch address,401 N Fredericksburg ST ,Multifamily dwellings
1,11/20/2018 1:13:44,"Medical assist, assist EMS crew",200  Robbie LN ,Multifamily dwellings
1,11/20/2018 3:30:04,No incident found on arrival at dispatch address, E Hopkins ST ,Street or road in commercial area
1,11/20/2018 8:44:46,"Medical assist, assist EMS crew",1980  Aquarena Springs DR ,Multifamily dwellings
1,11/20/2018 9:22:09,"Medical assist, assist EMS crew",312  Cheatham ST ,"Doctor, dentist or oral surgeon's office"
1,11/20/2018 10:52:07,"EMS call, excluding vehicle accident with injury",155 S LBJ DR ,Specialty shop
1,11/20/2018 11:33:53,Public service,2600  Hunter RD ,Multifamily dwellings
1,11/20/2018 16:56:21,"EMS call, excluding vehicle accident with injury",626 W San Antonio ST ,1 or 2 family dwelling
0,11/20/2018 19:25:03,"EMS call, excluding vehicle accident with injury",2  Greenpointe  ,1 or 2 family dwelling
2,11/20/2018 21:09:39,Alarm system sounded due to malfunction,1001 E McCarty LN ,"Hotel/motel, commercial"
6,11/20/2018 23:10:39,Building fire,2201 S IH 35  ,Convenience store
1,11/21/2018 2:51:37,"Medical assist, assist EMS crew",521  Parkdale DR ,1 or 2 family dwelling
1,11/21/2018 7:47:59,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
1,11/21/2018 9:42:28,"Medical assist, assist EMS crew",155  Wonder World DR ,"Clinic, clinic-type infirmary"
1,11/21/2018 12:04:54,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,1 or 2 family dwelling
2,11/21/2018 14:13:01,"Vehicle accident, general cleanup",205  SB  ,Highway or divided highway
1,11/21/2018 16:08:29,Power line down,518  Linda DR ,Vehicle parking area
1,11/21/2018 18:14:57,"EMS call, excluding vehicle accident with injury",1800  Post RD ,1 or 2 family dwelling
2,11/21/2018 19:02:49,"EMS call, excluding vehicle accident with injury",803 S Guadalupe ST ,"Mercantile, business, other"
2,11/21/2018 19:35:34,Gas leak (natural gas or LPG),1201  Thorpe LN ,1 or 2 family dwelling
3,11/21/2018 20:18:14,Motor vehicle accident with no injuries,  EXIT 200 SB  ,Highway or divided highway
2,11/22/2018 10:28:32,"Alarm system sounded, no fire - unintentional",1319  Andalucia DR ,1 or 2 family dwelling
1,11/22/2018 11:05:43,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,11/22/2018 11:40:45,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,11/22/2018 15:53:03,"EMS call, excluding vehicle accident with injury",223  Tampico ST ,1 or 2 family dwelling
1,11/22/2018 16:04:46,No incident found on arrival at dispatch address,  Crest DR ,"Residential street, road or residential driveway"
1,11/22/2018 17:18:52,"EMS call, excluding vehicle accident with injury",1951  Hunter RD ,Multifamily dwellings
1,11/22/2018 17:33:13,"EMS call, excluding vehicle accident with injury",718  Harwood DR ,1 or 2 family dwelling
1,11/22/2018 18:50:56,"EMS call, excluding vehicle accident with injury",411  Oak Ridge DR ,1 or 2 family dwelling
1,11/22/2018 19:06:24,"Medical assist, assist EMS crew",3939 S IH 35  ,"Textile, wearing apparel sales"
1,11/22/2018 21:11:24,"EMS call, excluding vehicle accident with injury",321  Durango ST ,1 or 2 family dwelling
1,11/23/2018 9:36:31,"Medical assist, assist EMS crew",503  Uhland RD ,1 or 2 family dwelling
2,11/23/2018 10:21:06,"Smoke scare, odor of smoke",2249  San Marcos HWY ,Graded and cared-for plots of land
1,11/23/2018 13:29:34,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,11/23/2018 14:06:52,Public service,1631  Aquarena Springs DR ,Multifamily dwellings
0,11/23/2018 14:30:37,"EMS call, excluding vehicle accident with injury",3939 S Ih 35  ,"Mercantile, business, other"
0,11/23/2018 14:49:32,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,"Mercantile, business, other"
1,11/23/2018 16:14:25,"Medical assist, assist EMS crew",1902 N Bishop ST ,Playground
2,11/23/2018 16:57:56,Vehicle accident with injuries,202  SB  ,Highway or divided highway
2,11/23/2018 17:21:46,Vehicle accident with injuries, E Access RD ,Highway or divided highway
3,11/23/2018 17:55:07,Vehicle accident with injuries,200  NB  ,Highway or divided highway
1,11/23/2018 20:15:24,"Medical assist, assist EMS crew",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/2018 3:35:18,"EMS call, excluding vehicle accident with injury",1754  River RD ,Multifamily dwellings
1,11/24/2018 8:14:27,"False alarm or false call, other",900  Barnes DR ,"Hotel/motel, commercial"
3,11/24/2018 9:44:40,Vehicle accident with injuries,206  NB  ,Highway or divided highway
2,11/24/2018 11:53:24,Vehicle accident with injuries,  Wonder World DR ,"Street, other"
2,11/24/2018 12:00:35,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
4,11/24/2018 12:44:07,Vehicle accident with injuries,200  NB  ,Highway or divided highway
1,11/24/2018 14:31:12,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/2018 17:10:02,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/2018 17:14:05,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/2018 20:33:49,"Smoke scare, odor of smoke",1700  Old Ranch Road 12  ,Convenience store
1,11/24/2018 21:06:28,"EMS call, excluding vehicle accident with injury",656  Mill ST ,1 or 2 family dwelling
1,11/24/2018 21:39:26,No incident found on arrival at dispatch address,1015  Hwy 80  ,Vehicle parking area
1,11/24/2018 22:57:02,"EMS call, excluding vehicle accident with injury",127 E Hopkins ST ,Bar or nightclub
1,11/24/2018 23:31:05,Police matter,3936 S IH 35  ,Vehicle parking area
1,11/25/2018 2:19:59,"EMS call, excluding vehicle accident with injury",426  Linda DR ,1 or 2 family dwelling
1,11/25/2018 4:36:39,Public service,1112  Faris ST ,1 or 2 family dwelling
2,11/25/2018 11:26:47,Vehicle accident with injuries,1103  Hwy 80  ,Street or road in commercial area
1,11/25/2018 12:33:00,Motor vehicle accident with no injuries,  Hwy 80  ,Street or road in commercial area
1,11/25/2018 12:45:16,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,11/25/2018 17:00:31,"EMS call, excluding vehicle accident with injury",302  Saltillo ST ,1 or 2 family dwelling
1,11/25/2018 18:36:55,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
4,11/25/2018 23:01:59,Bomb scare - no bomb,1029 W San Antonio ST ,1 or 2 family dwelling
1,11/25/2018 23:24:59,"Emergency medical service, other",1699 N IH 35  ,Convenience store
1,11/26/2018 4:49:37,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
0,11/26/2018 9:18:23,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,11/26/2018 11:30:32,"Medical assist, assist EMS crew",1301  Hwy 123  ,High school/junior high school/middle school
1,11/26/2018 12:10:34,"EMS call, excluding vehicle accident with injury",121  Kingwood ST ,1 or 2 family dwelling
2,11/26/2018 13:48:42,Motor vehicle accident with no injuries,210  NB  ,Highway or divided highway
1,11/26/2018 14:05:57,"Smoke detector activation, no fire - unintentional",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
0,11/26/2018 15:01:47,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
2,11/26/2018 18:14:24,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
1,11/26/2018 18:19:59,"EMS call, excluding vehicle accident with injury",79  Elm Hill CT ,1 or 2 family dwelling
1,11/26/2018 18:24:13,Dispatched & cancelled en route,1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/26/2018 21:00:59,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
5,11/26/2018 21:17:19,"Smoke detector activation, no fire - unintentional",1610 N IH 35  ,Multifamily dwellings
1,11/26/2018 22:30:38,Motor vehicle/pedestrian accident (MV Ped),1701  River RD ,"Residential street, road or residential driveway"
1,11/26/2018 22:49:40,Public service,2  Timbercrest  ,1 or 2 family dwelling
1,11/26/2018 22:57:52,"EMS call, excluding vehicle accident with injury",911  Hwy 80  ,Vehicle parking area
1,11/26/2018 23:01:44,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,11/27/2018 0:53:46,Water or steam leak,1101 E River Ridge PKWY ,Multifamily dwellings
1,11/27/2018 5:29:46,Dispatched & cancelled en route,1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/27/2018 7:23:03,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/27/2018 11:01:35,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,11/27/2018 11:24:15,"EMS call, excluding vehicle accident with injury",812 S Guadalupe ST ,"Personal service, including barber & beauty shops"
2,11/27/2018 12:36:21,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,11/27/2018 15:24:31,"EMS call, excluding vehicle accident with injury",518 S Guadalupe ST ,"Assembly, other"
1,11/27/2018 16:25:14,"EMS call, excluding vehicle accident with injury",1404  Wonder World DR ,Fire station
2,11/27/2018 16:29:11,"EMS call, excluding vehicle accident with injury",1200 N Bishop ST ,"Asylum, mental institution"
2,11/27/2018 16:30:01,"EMS call, excluding vehicle accident with injury",918  Sagewood TRL ,1 or 2 family dwelling
1,11/27/2018 20:24:10,EMS: Dispatched & cancelled en route,1112  Faris ST ,1 or 2 family dwelling
1,11/28/2018 8:42:46,Assist police or other governmental agency,1638  Post RD ,1 or 2 family dwelling
1,11/28/2018 9:12:52,Motor vehicle accident with no injuries,1202 S IH 35  ,Vehicle parking area
1,11/28/2018 11:50:38,Gas leak (natural gas or LPG),308  Camacho ST ,Street or road in commercial area
1,11/28/2018 14:59:07,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,"Recreational, hobby, home repair sales, pet store"
1,11/28/2018 16:43:41,Aircraft standby,1807  Airport DR ,Aircraft taxi-way
1,11/28/2018 19:13:30,No incident found on arrival at dispatch address,1818  Old Ranch Road 12  ,Multifamily dwellings
1,11/28/2018 19:50:11,"Public service assistance, other",1951  Hunter RD ,Multifamily dwellings
1,11/28/2018 20:01:34,Rescue or EMS standby,203 S Mitchell AVE ,Multifamily dwellings
1,11/28/2018 21:49:15,"EMS call, excluding vehicle accident with injury",668  Mill ST ,1 or 2 family dwelling
1,11/28/2018 22:56:46,"EMS call, excluding vehicle accident with injury",1703 N IH 35  ,Multifamily dwellings
1,11/29/2018 2:15:55,"EMS call, excluding vehicle accident with injury",316  Perry ST ,1 or 2 family dwelling
1,11/29/2018 10:59:49,"EMS call, excluding vehicle accident with injury",615 N Lbj DR ,"Adult education center, college classroom"
0,11/29/2018 11:45:13,"EMS call, excluding vehicle accident with injury",301  Foxtail RUN ,High school/junior high school/middle school
1,11/29/2018 12:55:32,"Medical assist, assist EMS crew",1301  Hwy 123  ,High school/junior high school/middle school
1,11/29/2018 19:35:52,"EMS call, excluding vehicle accident with injury",700 N LBJ DR ,Restaurant or cafeteria
1,11/29/2018 19:37:13,"Medical assist, assist EMS crew",2250  Clovis Barker RD ,"Reformatory, juvenile detention center"
1,11/29/2018 20:51:23,"EMS call, excluding vehicle accident with injury",301  Foxtail RUN ,High school/junior high school/middle school
1,11/29/2018 21:19:05,Alarm system sounded due to malfunction,3939 S IH 35  ,Department or discount store
1,11/29/2018 21:54:04,Gas leak (natural gas or LPG),701 S LBJ DR ,Multifamily dwellings
1,11/30/2018 2:32:56,Assist police or other governmental agency,2805  Hunter RD ,1 or 2 family dwelling
5,11/30/2018 9:06:12,Building fire - Residential,227 N Mitchell AVE ,1 or 2 family dwelling
1,11/30/2018 9:19:57,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
2,11/30/2018 9:48:22,Assist police or other governmental agency,209  SB  ,Highway or divided highway
1,11/30/2018 11:57:11,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
2,11/30/2018 12:11:12,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/30/2018 12:34:25,"EMS call, excluding vehicle accident with injury",809  Jesse TRL ,1 or 2 family dwelling
1,11/30/2018 13:26:57,Citizen complaint,400  Blanco ST ,"Residential street, road or residential driveway"
1,11/30/2018 13:43:00,"EMS call, excluding vehicle accident with injury",1000  Prospect ST ,Specialty shop
2,11/30/2018 14:07:47,Vehicle accident with injuries,  Wonder World DR ,Street or road in commercial area
1,11/30/2018 14:18:39,Gas leak (natural gas or LPG),1920  Nevada ST ,"Residential street, road or residential driveway"
1,11/30/2018 14:55:09,"EMS call, excluding vehicle accident with injury",904  Craddock AVE ,1 or 2 family dwelling
1,11/30/2018 16:55:16,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/30/2018 17:40:10,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,11/30/2018 17:55:27,Vehicle accident with injuries,1700 S IH 35  ,Highway or divided highway
1,11/30/2018 18:55:33,"EMS call, excluding vehicle accident with injury",1106 N IH 35  ,Mental retardation/development disability facility
2,11/30/2018 20:34:10,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,11/30/2018 20:38:06,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
1,11/30/2018 23:37:24,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,12/01/2018 6:50:34,Motor vehicle accident with no injuries, S Guadalupe ST ,Railroad right of way
1,12/01/2018 9:56:33,"EMS call, excluding vehicle accident with injury",  Laredo ST ,"Residential street, road or residential driveway"
2,12/01/2018 12:16:19,Public service,204  SB  ,Highway or divided highway
1,12/01/2018 13:48:53,No incident found on arrival at dispatch address,201  Moore ST ,"Food and beverage sales, grocery store"
1,12/01/2018 15:44:30,"EMS call, excluding vehicle accident with injury",1818  Old Ranch Road 12  ,Multifamily dwellings
1,12/01/2018 16:12:14,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
1,12/01/2018 20:14:42,"EMS call, excluding vehicle accident with injury",1321 N IH 35  ,"Hotel/motel, commercial"
1,12/01/2018 21:29:46,"Medical assist, assist EMS crew",1354  Thorpe LN ,Multifamily dwellings
1,12/01/2018 22:58:36,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,12/02/2018 0:37:29,"EMS call, excluding vehicle accident with injury",1560 S IH 35  ,"Hotel/motel, commercial"
1,12/02/2018 1:25:24,No incident found on arrival at dispatch address,512  Craddock AVE ,Multifamily dwellings
