Incident Number,Date,Time,Address,Incident Type,Completed,Reviewed
0005016 - 000,10/2/19,15:24:31,1401 Wonder World Dr  # 18 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005017 - 000,10/2/19,17:27:20,1716 Hofheinz St  # 24 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005018 - 000,10/2/19,17:48:46,205 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005019 - 000,10/2/19,18:26:50,205 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0005020 - 000,10/2/19,20:57:22,801 Sturgeon Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005021 - 000,10/2/19,22:49:19,1350 N LBJ Dr  # 2111 ,552 - Police matter,Yes,Yes
0005022 - 000,10/3/19,3:11:26,1720 Old Ranch Road 12  # 211 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005023 - 000,10/3/19,3:33:46,1117 Field St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005024 - 000,10/3/19,6:23:50,Hwy 80 ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0005025 - 000,10/3/19,8:21:31,1720 Old Ranch Road 12  # DIN ROO M,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005026 - 000,10/3/19,12:01:37,4015 S IH 35  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005027 - 000,10/3/19,12:54:07,199 NB ,551 - Assist police or other governmental agency,Yes,Yes
0005028 - 000,10/3/19,14:49:49,1481 Esplanade Pkwy  # RM 418 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005029 - 000,10/3/19,15:03:10,1707 Aquarena Springs Dr  # 203 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005030 - 000,10/3/19,16:02:06,1290 Wonder World Dr  # 1100 ,611 - Dispatched & cancelled en route,Yes,Yes
0005031 - 000,10/3/19,16:12:12,2600 Hunter Rd  # 2108 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005032 - 000,10/3/19,17:18:39,1117 Field St ,554 - Assist invalid,Yes,Yes
0005033 - 000,10/3/19,18:28:38,100 W Woods St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005034 - 000,10/3/19,21:22:00,Sadler Dr ,322 - Vehicle accident with injuries,Yes,Yes
0005035 - 000,10/3/19,21:50:13,200 Springtown Way  # ELEV ,353 - Removal of victim(s) from stalled elevator,Yes,Yes
0005036 - 000,10/3/19,22:45:11,1201 Thorpe Ln  # 82 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005037 - 000,10/4/19,2:15:43,200 W Hopkins St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005038 - 000,10/4/19,5:35:19,1201 Thorpe Ln  # 82 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005039 - 000,10/4/19,8:34:23,160 S Fredericksburg St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005040 - 000,10/4/19,11:35:26,1401 Wonder World Dr  # 122 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005041 - 000,10/4/19,11:52:57,306 Mill St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005042 - 000,10/4/19,12:30:26,501 N Edward Gary St ,"331 - Lock-in (if lock out , use 511 )",Yes,Yes
0005043 - 000,10/4/19,13:48:02,439 Ancient Oak Way ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0005044 - 000,10/4/19,13:54:24,1941 S IH 35  # 101 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005045 - 000,10/4/19,15:14:03,1600 N IH 35  # 108 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005048 - 000,10/4/19,15:26:58,200 W Scott St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005049 - 000,10/4/19,16:19:54,E San Antonio St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005050 - 000,10/4/19,16:24:12,1103 Hwy 80 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005051 - 000,10/4/19,16:51:23,Hwy 80 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005052 - 000,10/4/19,18:31:16,204 NB  # LFT SHLD ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005053 - 000,10/4/19,18:40:52,113 Sawtooth Dr ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005054 - 000,10/4/19,20:30:09,1301 Hwy 123 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005055 - 000,10/5/19,0:08:05,1430 Wonder World Dr ,111R - Building fire - Residential,Yes,Yes
0005056 - 000,10/5/19,6:29:53,199 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005057 - 000,10/5/19,8:06:29,W Sessom Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005059 - 000,10/5/19,12:27:46,1401 E McCarty Ln ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005060 - 000,10/5/19,12:31:04,EXIT 201 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0005061 - 000,10/5/19,12:53:06,1321 N IH 35  # 120 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005062 - 000,10/5/19,15:30:12,4225 Wegner Rd ,"142 - Brush, or brush and grass mixture fire",Yes,Yes
0005063 - 000,10/5/19,15:24:22,163 South Fork Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005064 - 000,10/5/19,15:34:52,500 Parker Dr  # 2811 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005065 - 000,10/5/19,18:11:49,500 Parker Dr  # 2811 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005066 - 000,10/5/19,18:52:14,2050 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005067 - 000,10/5/19,19:06:41,1539 Post Rd ,"550 - Public service assistance, other",Yes,Yes
0005068 - 000,10/5/19,19:33:08,1111 N LBJ Dr  # 133 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005070 - 000,10/5/19,20:41:57,1000 Staples Rd  # 301 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005071 - 000,10/5/19,20:57:10,1201 Thorpe Ln  # 82 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005072 - 000,10/5/19,21:52:52,1201 Thorpe Ln  # 82 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005073 - 000,10/5/19,22:29:00,205 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005075 - 000,10/5/19,23:00:03,100 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005076 - 000,10/6/19,2:18:32,1201 Thorpe Ln  # 82 ,611 - Dispatched & cancelled en route,Yes,Yes
0005077 - 000,10/6/19,3:05:51,1201 Thorpe Ln  # 82 ,611 - Dispatched & cancelled en route,Yes,Yes
0005078 - 000,10/6/19,3:33:09,749 Willow Creek Cir ,111R - Building fire - Residential,Yes,Yes
0005080 - 000,10/6/19,6:14:44,2600 Hunter Rd ,"651 - Smoke scare, odor of smoke",Yes,Yes
0005081 - 000,10/6/19,8:04:20,917 N IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0005082 - 000,10/6/19,9:49:53,EXIT 204A SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005084 - 000,10/6/19,11:27:44,210 SB ,561 - Unauthorized burning,Yes,Yes
0005085 - 000,10/6/19,13:09:49,631 Moore St  # 303 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005086 - 000,10/6/19,13:43:21,EXIT 204B SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005088 - 000,10/6/19,15:05:02,1800 N IH 35  # NB ,611 - Dispatched & cancelled en route,Yes,Yes
0005089 - 000,10/6/19,15:06:41,EXIT 205 NB ,322 - Vehicle accident with injuries,Yes,Yes
0005090 - 000,10/6/19,16:52:47,1800 Post Rd  # 1511 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005091 - 000,10/6/19,19:22:33,1104 Hazelton St ,611 - Dispatched & cancelled en route,Yes,Yes
0005092 - 000,10/6/19,20:07:47,2309 Willow Arbor ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005093 - 000,10/6/19,20:33:07,W Access Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0005094 - 000,10/6/19,20:42:39,1321 N IH 35  # 106 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005095 - 000,10/6/19,21:55:20,202 N LBJ Dr  # 209 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005096 - 000,10/7/19,5:34:00,104 N IH 35  # KITCHEN ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005097 - 000,10/7/19,10:20:50,120 Stagecoach Trl ,611 - Dispatched & cancelled en route,Yes,Yes
0005098 - 000,10/7/19,10:21:55,Aquarena Springs Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005099 - 000,10/7/19,11:15:13,601 River Rd  # 303 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005100 - 000,10/7/19,11:59:40,Wonder World Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005101 - 000,10/7/19,11:56:08,1900 Medical Pkwy  # 115 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005103 - 000,10/7/19,14:13:27,512 Craddock Ave  # 1664 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0005107 - 000,10/7/19,14:57:54,100 Carlson Cir ,553 - Public service,Yes,Yes
0005108 - 000,10/7/19,15:14:26,199 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005109 - 000,10/7/19,17:02:51,1201 Thorpe Ln  # 103 ,611 - Dispatched & cancelled en route,Yes,Yes
0005112 - 000,10/7/19,18:04:18,601 River Rd  # 203 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005113 - 000,10/7/19,20:05:49,1250 N IH 35 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005114 - 000,10/7/19,20:21:46,1101 Meredith St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005115 - 000,10/7/19,21:08:11,Charles Austin Dr ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0005117 - 000,10/7/19,21:48:29,117 N Guadalupe St ,"151 - Outside rubbish, trash or waste fire",Yes,Yes
0005118 - 000,10/8/19,2:46:58,208 SB ,553 - Public service,Yes,Yes
0005120 - 000,10/8/19,3:13:10,801 River Rd  # 248 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005121 - 000,10/8/19,3:55:09,1606 Lancaster St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005122 - 000,10/8/19,7:46:48,713 Lago Vista ,611 - Dispatched & cancelled en route,Yes,Yes
0005123 - 000,10/8/19,8:26:25,1720 Old Ranch Road 12  # 2ND NUR S,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005124 - 000,10/8/19,11:14:12,1800 Post Rd  # 1023 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005125 - 000,10/8/19,11:17:06,616 N Lbj Dr  # LOBBY ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005126 - 000,10/8/19,12:36:42,1202 W San Antonio St ,736 - CO detector activation due to malfunction,Yes,Yes
0005127 - 000,10/8/19,12:43:10,On E Access Rd  at Black Pipe ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005128 - 000,10/8/19,12:46:46,1611 Clovis Barker Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0005129 - 000,10/8/19,13:27:53,201 E Access Rd ,322 - Vehicle accident with injuries,Yes,Yes
0005130 - 000,10/8/19,13:35:11,208 NB ,551 - Assist police or other governmental agency,Yes,Yes
0005131 - 000,10/8/19,16:40:35,500 Parker Dr  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005132 - 000,10/8/19,18:06:45,415 Candlelight Ln ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005133 - 000,10/8/19,18:10:35,100 N IH 35 ,444 - Power line down,Yes,Yes
0005134 - 000,10/8/19,20:56:11,1106 N IH 35  # FRONT ,611 - Dispatched & cancelled en route,Yes,Yes
0005135 - 000,10/8/19,21:45:47,1013 Cheatham St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005136 - 000,10/8/19,22:03:07,503 Springtown Way  # 117 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005137 - 000,10/8/19,22:41:34,1647 Post Rd  # 6112 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005138 - 000,10/9/19,2:53:32,1201 Thorpe Ln  # 82 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005139 - 000,10/9/19,4:42:39,1271 Sadler Dr  # 6210 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005140 - 000,10/9/19,6:20:31,1615 Redwood Rd  # 46A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005141 - 000,10/9/19,13:54:07,4015 S IH 35  # 860 ,553 - Public service,Yes,Yes
0005142 - 000,10/9/19,15:35:36,1805 Aquarena Springs Dr  # 413 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005143 - 000,10/9/19,15:41:12,E Sessom Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005144 - 000,10/9/19,17:46:15,E Access Rd ,622 - No incident found on arrival at dispatch address,Yes,Yes
0005145 - 000,10/9/19,17:53:53,1701 N IH 35  # LOBBY ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005146 - 000,10/9/19,18:08:30,E McCarty Ln ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005147 - 000,10/9/19,18:13:48,600 Barnes Dr  # 101 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005148 - 000,10/9/19,20:25:30,W Access Rd ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005150 - 000,10/9/19,20:58:51,Wonder World Dr ,322 - Vehicle accident with injuries,Yes,Yes
0005152 - 000,10/9/19,21:17:04,1600 N IH 35 ,"744 - Detector activation, no fire - unintentional",Yes,Yes
0005153 - 000,10/10/19,0:17:08,200 Springtown Way  # 136 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005154 - 000,10/10/19,1:31:25,210 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0005155 - 000,10/10/19,7:48:14,1975 Aquarena Springs Dr  # BLDG1 3,735 - Alarm system sounded due to malfunction,Yes,Yes
0005156 - 000,10/10/19,8:59:16,1975 Aquarena Springs Dr ,735 - Alarm system sounded due to malfunction,Yes,Yes
0005157 - 000,10/10/19,11:07:59,700 S LBJ Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0005158 - 000,10/10/19,11:25:56,310 Mary St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005159 - 000,10/10/19,12:39:25,1123 Jones St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005161 - 000,10/10/19,19:55:03,639 E Hopkins St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005162 - 000,10/11/19,0:36:55,1059 Sand Post Pl ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005163 - 000,10/11/19,1:46:47,1401 Wonder World Dr  # 28 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005164 - 000,10/11/19,1:51:57,1770 Redwood Rd ,111 - Building fire,Yes,Yes
0005165 - 000,10/11/19,2:04:19,1401 Wonder World Dr  # 118 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005166 - 000,10/11/19,4:07:13,205 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005167 - 000,10/11/19,4:09:42,1354 Thorpe Ln  # 2207 ,611 - Dispatched & cancelled en route,Yes,Yes
0005169 - 000,10/11/19,5:45:48,202 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005170 - 000,10/11/19,7:38:19,1720 Old Ranch Road 12  # NURSE ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005171 - 000,10/11/19,9:36:00,208 NB ,551 - Assist police or other governmental agency,Yes,Yes
0005172 - 000,10/11/19,11:24:59,120 W Hopkins St  # 200 ,"744 - Detector activation, no fire - unintentional",Yes,Yes
0005175 - 000,10/11/19,11:54:24,314 Magnolia Dr ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0005176 - 000,10/11/19,13:13:45,1000 Hwy 80 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005177 - 000,10/11/19,14:13:55,1001 E McCarty Ln ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0005178 - 000,10/11/19,14:44:26,199 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0005179 - 000,10/11/19,14:58:01,On Wonder World Dr  at E Access R d,322 - Vehicle accident with injuries,Yes,Yes
0005180 - 000,10/11/19,15:44:58,1001 Hwy 123 ,611 - Dispatched & cancelled en route,Yes,Yes
0005181 - 000,10/11/19,16:25:06,1354 Thorpe Ln  # PLOT ,553 - Public service,Yes,Yes
0005182 - 000,10/11/19,17:36:59,333 Hopping Peach St ,736 - CO detector activation due to malfunction,Yes,Yes
0005183 - 000,10/11/19,18:33:26,1850 Aquarena Springs Dr  # 614 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005184 - 000,10/11/19,19:03:05,503 Uhland Rd  # 29 ,412 - Gas leak (natural gas or LPG),Yes,Yes
0005185 - 000,10/11/19,19:12:33,800 Academy St ,735 - Alarm system sounded due to malfunction,Yes,Yes
0005187 - 000,10/11/19,19:39:35,227 N Mitchell Ave ,611 - Dispatched & cancelled en route,Yes,Yes
0005188 - 000,10/11/19,19:46:17,227 N Mitchell Ave ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0005189 - 000,10/11/19,20:07:48,2601 Rattler Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005190 - 000,10/11/19,21:18:10,200 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0005191 - 000,10/11/19,21:46:58,121 Craddock Ave  # 522 ,"744 - Detector activation, no fire - unintentional",Yes,Yes
0005194 - 000,10/11/19,21:46:11,204 SB ,322 - Vehicle accident with injuries,Yes,Yes
0005195 - 000,10/11/19,23:13:29,1951 Aquarena Springs Dr  # 5108 ,"113 - Cooking fire, confined to container",Yes,Yes
0005196 - 000,10/12/19,1:23:30,126 S Guadalupe St ,551 - Assist police or other governmental agency,Yes,Yes
0005197 - 000,10/12/19,4:07:26,300 S Stagecoach Trl  # 3101 ,"744 - Detector activation, no fire - unintentional",Yes,Yes
0005198 - 000,10/12/19,7:38:33,765 River Rd  # 1521 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005199 - 000,10/12/19,8:10:17,Hays St ,611 - Dispatched & cancelled en route,Yes,Yes
0005200 - 000,10/12/19,10:18:51,1015 Hwy 80 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005201 - 000,10/12/19,11:07:48,6215 S Ih 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0005202 - 000,10/12/19,11:38:02,S Hunter Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0005204 - 000,10/12/19,12:57:49,160 Discovery Ln ,111 - Building fire,Yes,Yes
0005205 - 000,10/12/19,17:31:11,1201 Thorpe Ln  # 113 ,611 - Dispatched & cancelled en route,Yes,Yes
0005206 - 000,10/12/19,19:17:50,701 Jesse Trl ,611 - Dispatched & cancelled en route,Yes,Yes
0005207 - 000,10/12/19,19:16:43,1631 Aquarena Springs Dr  # 601 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005208 - 000,10/12/19,20:24:55,1623 Aquarena Springs Dr  # 106 ,553 - Public service,Yes,Yes
0005209 - 000,10/12/19,21:44:36,102 Student Center Dr  # OUTSD ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005210 - 000,10/12/19,21:57:00,512 Craddock Ave  # 1623 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005211 - 000,10/12/19,23:03:25,205 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005212 - 000,10/13/19,1:51:56,100 W Hopkins St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005213 - 000,10/13/19,2:03:46,401 N Fredericksburg St  # PK GAR AG,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005214 - 000,10/13/19,2:14:31,100 N Guadalupe St ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0005215 - 000,10/13/19,2:18:39,100 N IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0005216 - 000,10/13/19,4:01:20,417 N Comanche St  # 526 ,622 - No incident found on arrival at dispatch address,Yes,Yes
0005217 - 000,10/13/19,6:20:35,1001 Hwy 123  # PLOT ,611 - Dispatched & cancelled en route,Yes,Yes
0005218 - 000,10/13/19,8:27:48,300 Laredo St ,"445 - Arcing, shorted electrical equipment",Yes,Yes
0005219 - 000,10/13/19,9:22:06,200 W Sierra Cir ,622 - No incident found on arrival at dispatch address,Yes,Yes
0005220 - 000,10/13/19,10:08:02,229 Wisteria Way ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005221 - 000,10/13/19,10:54:03,1635 Aquarena Springs Dr  # LOBBY ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005222 - 000,10/13/19,11:03:33,1201 Thorpe Ln  # 183 ,622 - No incident found on arrival at dispatch address,Yes,Yes
0005223 - 000,10/13/19,14:53:29,503 Uhland Rd  # 87 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005224 - 000,10/13/19,15:25:23,EXIT 207 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005225 - 000,10/13/19,16:09:33,199 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005226 - 000,10/13/19,16:24:23,3939 S IH 35  # 208 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005227 - 000,10/13/19,17:02:52,1502 S IH 35 ,721 - Bomb scare - no bomb,Yes,Yes
0005228 - 000,10/13/19,18:10:32,210 Field Corn Ln ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0005229 - 000,10/13/19,18:30:04,4015 S IH 35  # 213A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005230 - 000,10/13/19,19:04:40,487 Bridlewood Dr ,721 - Bomb scare - no bomb,Yes,Yes
0005231 - 000,10/13/19,20:00:31,2117 River Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005232 - 000,10/13/19,20:28:43,1201 Thorpe Ln  # 136 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005233 - 000,10/13/19,20:52:20,2009 Hearthstone ,"740 - Unintentional transmission of alarm, other",Yes,Yes
0005234 - 000,10/13/19,21:14:29,2000 S Stagecoach Trl ,322 - Vehicle accident with injuries,Yes,Yes
0005235 - 000,10/13/19,21:58:43,1150 E River Ridge Pkwy  # 433 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005236 - 000,10/13/19,23:25:18,1108 N IH 35 ,"331 - Lock-in (if lock out , use 511 )",Yes,Yes
0005237 - 000,10/13/19,23:28:58,1101 Hwy 123 ,611 - Dispatched & cancelled en route,Yes,Yes
0005238 - 000,10/14/19,2:33:52,200 Springtown Way  # 138C ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005239 - 000,10/14/19,4:07:29,2600 Hunter Rd  # 1306 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005240 - 000,10/14/19,4:39:22,510 Burleson St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005242 - 000,10/14/19,5:55:06,2300 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005243 - 000,10/14/19,5:57:50,3939 S IH 35  # 900 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005244 - 000,10/14/19,8:59:38,503 Uhland Rd  # 87 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005245 - 000,10/14/19,9:02:18,1300 Girard Ave  # PLOT ,553 - Public service,Yes,Yes
0005246 - 000,10/14/19,10:43:58,1201 Thorpe Ln  # 113 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005247 - 000,10/14/19,12:46:59,Gravel St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005248 - 000,10/14/19,13:22:29,1307 Uhland Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0005249 - 000,10/14/19,13:35:50,202 University Dr ,622 - No incident found on arrival at dispatch address,Yes,Yes
0005250 - 000,10/14/19,14:06:53,1005 Hwy 80 ,"151 - Outside rubbish, trash or waste fire",Yes,Yes
0005253 - 000,10/14/19,15:10:46,1401 Wonder World Dr  # LOBBY ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005254 - 000,10/14/19,15:54:41,198 SB ,322 - Vehicle accident with injuries,Yes,Yes
0005255 - 000,10/14/19,16:52:00,503 Uhland Rd  # 87 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005256 - 000,10/14/19,17:18:50,501 Academy St ,911 - Citizen complaint,Yes,Yes
0005257 - 000,10/14/19,18:45:51,Aquarena Springs Dr ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0005258 - 000,10/14/19,20:00:07,109 E McCarty Ln ,442 - Overheated motor,Yes,Yes
0005259 - 000,10/15/19,0:44:46,EXIT 208 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005260 - 000,10/15/19,7:14:20,E Sessom Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005261 - 000,10/15/19,11:42:14,Hwy 123 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005262 - 000,10/15/19,13:37:11,301 N Guadalupe St ,551 - Assist police or other governmental agency,Yes,Yes
0005263 - 000,10/15/19,14:43:23,746 Easton Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0005264 - 000,10/15/19,15:17:58,205 NB ,322 - Vehicle accident with injuries,Yes,Yes
0005266 - 000,10/15/19,16:12:29,201 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005267 - 000,10/15/19,18:31:15,1720 Old Ranch Road 12  # HALLWAY ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005268 - 000,10/15/19,18:58:36,1213 Baylor Ave ,622 - No incident found on arrival at dispatch address,Yes,Yes
0005269 - 000,10/15/19,20:28:00,1201 Thorpe Ln  # 82 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005270 - 000,10/15/19,23:42:31,2913 Hunter Rd  # 715 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005271 - 000,10/16/19,0:42:08,1201 Thorpe Ln  # 82 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005272 - 000,10/16/19,2:07:20,1201 Thorpe Ln  # 82 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0005273 - 000,10/16/19,7:30:18,Hwy 123 ,322 - Vehicle accident with injuries,Yes,Yes
0005275 - 000,10/16/19,8:00:13,800 Aquarena Springs Dr ,551 - Assist police or other governmental agency,Yes,Yes
0005276 - 000,10/16/19,9:05:41,1301 Wonder World Dr  # ER ,611 - Dispatched & cancelled en route,Yes,Yes
0005277 - 000,10/16/19,11:20:12,1200 Aquarena Springs Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0005278 - 000,10/16/19,11:24:57,1301 Wonder World Dr ,511 - Lock-out,Yes,Yes
0005279 - 000,10/16/19,12:34:24,301 E Woods St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0005280 - 000,10/16/19,15:03:15,1416 Highland Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
